"hotel","arrival_date_month","arrival_date_year","total_booking","total_people","total_cancel"
"City Hotel","April",2016,"3558","7021.00","1538"
"City Hotel","April",2017,"3911","8080.00","1921"
"City Hotel","August",2015,"2474","4878.00","1232"
"City Hotel","August",2016,"3370","7660.00","1247"
"City Hotel","August",2017,"3123","6863.00","1121"
"City Hotel","December",2015,"1649","3050.00","668"
"City Hotel","December",2016,"2465","5095.00","1069"
"City Hotel","February",2016,"2365","4331.00","929"
"City Hotel","February",2017,"2585","5045.00","970"
"City Hotel","January",2016,"1364","2285.00","438"
"City Hotel","January",2017,"2366","4436.00","1043"
"City Hotel","July",2015,"1396","2687.00","939"
"City Hotel","July",2016,"3119","6857.00","1038"
"City Hotel","July",2017,"3556","7659.00","1324"
"City Hotel","June",2016,"3921","7251.00","1720"
"City Hotel","June",2017,"3964","7865.00","1807"
"City Hotel","March",2016,"3041","5893.00","1108"
"City Hotel","March",2017,"3393","6440.00","1277"
"City Hotel","May",2016,"3673","6932.00","1436"
"City Hotel","May",2017,"4548","8532.00","2217"
"City Hotel","November",2015,"1232","1950.00","301"
"City Hotel","November",2016,"3102","5571.00","1359"
"City Hotel","October",2015,"3368","6001.00","1307"
"City Hotel","October",2016,"4212","8104.00","1947"
"City Hotel","September",2015,"3524","6386.00","1542"
"City Hotel","September",2016,"3868","7575.00","1567"
"Resort Hotel","April",2016,"1843","3422.00","520"
"Resort Hotel","April",2017,"1726","3425.00","531"
"Resort Hotel","August",2015,"1397","3136.00","366"
"Resort Hotel","August",2016,"1676","3920.00","577"
"Resort Hotel","August",2017,"1800","4268.00","693"
"Resort Hotel","December",2015,"1244","2394.00","305"
"Resort Hotel","December",2016,"1352","2588.00","321"
"Resort Hotel","February",2016,"1486","2840.00","406"
"Resort Hotel","February",2017,"1561","3008.00","388"
"Resort Hotel","January",2016,"851","1511.00","119"
"Resort Hotel","January",2017,"1285","2222.00","205"
"Resort Hotel","July",2015,"1365","3007.00","320"
"Resort Hotel","July",2016,"1421","3210.00","450"
"Resort Hotel","July",2017,"1754","4132.00","660"
"Resort Hotel","June",2016,"1357","2835.00","375"
"Resort Hotel","June",2017,"1675","3515.00","631"
"Resort Hotel","March",2016,"1742","3323.00","368"
"Resort Hotel","March",2017,"1537","2708.00","394"
"Resort Hotel","May",2016,"1790","3474.00","479"
"Resort Hotel","May",2017,"1757","3504.00","545"
"Resort Hotel","November",2015,"1085","1835.00","185"
"Resort Hotel","November",2016,"1312","2407.00","275"
"Resort Hotel","October",2015,"1545","3023.00","409"
"Resort Hotel","October",2016,"1957","3817.00","565"
"Resort Hotel","September",2015,"1555","3286.00","535"
"Resort Hotel","September",2016,"1512","3046.00","455"
